,gene_name,display_name,biotype,keep
581,Zbtb42,Zbtb42,TF,True
582,Spz1,Spz1,TF,True
583,Tbx6,Tbx6,TF,True
584,Foxj1,Foxj1,TF,True
585,Zfhx2,Zfhx2,TF,True
586,Dmrta2,Dmrta2,TF,True
587,Gsx2,Gsx2,TF,True
588,Gm28047,Gm28047,TF,True
589,Mtf2,Mtf2,TF,True
590,Foxs1,Foxs1,TF,True
591,Atf7,Atf7,TF,True
592,Nhlh2,Nhlh2,TF,True
593,Sp100,Sp100,TF,True
594,Hoxc13,Hoxc13,TF,True
595,Hoxc12,Hoxc12,TF,True
596,Hoxc11,Hoxc11,TF,True
597,Hoxc10,Hoxc10,TF,True
598,Hoxc5,Hoxc5,TF,True
599,Hoxc9,Hoxc9,TF,True
600,Hoxc8,Hoxc8,TF,True
601,Hoxc6,Hoxc6,TF,True
602,Rxra,Rxra,TF,True
603,Zfp704,Zfp704,TF,True
604,Foxp1,Foxp1,TF,True
605,Ss18l1,Ss18l1,TF,True
606,Max,Max,TF,True
607,Hoxc4,Hoxc4,TF,True
608,Nfkb1,Nfkb1,TF,True
609,A630001G21Rik,A630001G21Rik,TF,True
610,Nrl,Nrl,TF,True
611,Hes2,Hes2,TF,True
612,Gm9833,Gm9833,TF,True
613,Zic1,Zic1,TF,True
614,Atf4,Atf4,TF,True
615,Pou2f3,Pou2f3,TF,True
616,Vsx2,Vsx2,TF,True
617,Zic4,Zic4,TF,True
618,Plscr1,Plscr1,TF,True
619,Hes3,Hes3,TF,True
620,Zfp423,Zfp423,TF,True
621,Gsx1,Gsx1,TF,True
622,Mrtfa,Mrtfa,TF,True
623,Pdx1,Pdx1,TF,True
624,Cdx2,Cdx2,TF,True
625,Zfp131,Zfp131,TF,True
626,Plscr2,Plscr2,TF,True
627,Mga,Mga,TF,True
628,Zfp930,Zfp930,TF,True
629,1700057G04Rik,1700057G04Rik,TF,True
630,Zfp868,Zfp868,TF,True
631,Zfp964,Zfp964,TF,True
632,Zfp869,Zfp869,TF,True
633,Ep300,Ep300,TF,True
634,Zfp963,Zfp963,TF,True
635,Gm20422,Gm20422,TF,True
636,Zfp866,Zfp866,TF,True
637,Neurod6,Neurod6,TF,True
638,Fezf1,Fezf1,TF,True
639,Spib,Spib,TF,True
640,Nr1h5,Nr1h5,TF,True
641,Mxi1,Mxi1,TF,True
642,Otp,Otp,TF,True
643,Irf9,Irf9,TF,True
644,Hsf3,Hsf3,TF,True
645,Csrnp3,Csrnp3,TF,True
646,Foxi1,Foxi1,TF,True
647,Tef,Tef,TF,True
648,Pbx4,Pbx4,TF,True
649,Stat6,Stat6,TF,True
650,Npas1,Npas1,TF,True
651,Dmtf1,Dmtf1,TF,True
652,Ar,Ar,TF,True
653,Gata5,Gata5,TF,True
654,Rfxank,Rfxank,TF,True
655,Tfap2d,Tfap2d,TF,True
656,Stat5b,Stat5b,TF,True
657,Mef2a,Mef2a,TF,True
658,Plagl2,Plagl2,TF,True
659,Sall1,Sall1,TF,True
660,Tfam,Tfam,TF,True
661,Mef2b,Mef2b,TF,True
662,Zfp558,Zfp558,TF,True
663,Clock,Clock,TF,True
664,Zbtb39,Zbtb39,TF,True
665,Stat5a,Stat5a,TF,True
666,Foxd2,Foxd2,TF,True
667,Zfp623,Zfp623,TF,True
668,Zfp707,Zfp707,TF,True
669,Nr1h2,Nr1h2,TF,True
670,E2f5,E2f5,TF,True
671,Foxe3,Foxe3,TF,True
672,Tfap2b,Tfap2b,TF,True
673,Zfp317,Zfp317,TF,True
674,Tcf7l2,Tcf7l2,TF,True
675,Hsf2,Hsf2,TF,True
676,Tal1,Tal1,TF,True
677,Tcfl5,Tcfl5,TF,True
678,Etv6,Etv6,TF,True
