Gene,Tissue,Gen_celltype,Celltype,Subtype,Reference,Notes
Acsl1,Adrenal,Adipocyte,Adipocyte,Adipocyte,,
Pparg,Adrenal,Adipocyte,Adipocyte,Adipocyte,,
Adipoq,Adrenal,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Pnpla2,Adrenal,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Rspo1,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Nr2f2,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Gli1,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Igfbp5,Adrenal,Capsule,Capsule,Capsule,,
Wt1,Adrenal,Capsule,Capsule,Capsule,,
Nr5a1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11a1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11b1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11b2,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Agtr1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7,
Kcnk5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Kcnj5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Ncam1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Dab2,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7,
Dach1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Lrg5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Cyp17a1,Adrenal,Cortex,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7,
Star,Adrenal,Cortex,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7,
Runx2,Adrenal,Cortex,Cortex,X_zone,,
Akr1c18,Adrenal,Cortex,Cortex,X_zone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7446775/,
Pik3c2g,Adrenal,Cortex,Cortex,X_zone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7446775/,
Tek,Adrenal,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-24870-7,
Flt1,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Pecam1,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Vwf,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Flt4,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Vtn,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://panglaodb.se/markers.html?cell_type=%27Fibroblasts%27,
Col6a2,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://panglaodb.se/markers.html?cell_type=%27Fibroblasts%27,
Col1a1,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Postn,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Pdgfra,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Pdgfrb,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Dcn,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Cxcl12,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Alb,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,,
Ttr,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,,
Apoa2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ttr,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Hal,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Sds,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Glul,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Axin2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Cyp1a2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Gstm3,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Cyp2e1,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Ass1,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Asl,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Alb,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Cyp2f2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Arg1,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Pck1,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
C2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
March1,Adrenal,Myeloid,Macrophage,Macrophage,,
F13a1,Adrenal,Myeloid,Macrophage,Macrophage,,
Csf1r,Adrenal,Myeloid,Macrophage,Macrophage,https://www.nature.com/articles/s41467-021-24870-7,
Cd86,Adrenal,Myeloid,Macrophage,Macrophage,https://www.nature.com/articles/s41467-021-24870-7,
Chga,Adrenal,Medulla,Medulla,Medulla,https://www.pnas.org/doi/10.1073/pnas.2022350118,
Sox10,Adrenal,Medulla,Medulla,Medulla,https://www.pnas.org/doi/10.1073/pnas.2022350118,
Th,Adrenal,Medulla,Medulla,Medulla,https://www.pnas.org/doi/10.1073/pnas.2022350118,
Pnmt,Adrenal,Medulla,Medulla,Medulla,,
Ryr1,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Ttn,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Myh1,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Neb,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Myh4,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Acta1,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Ckm,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Des,Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,,
Myh11,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,,
Myl9,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,,
Acta2,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,,
Myocd,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,https://www.pnas.org/doi/10.1073/pnas.1232341100,
Rock1,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,https://pubmed.ncbi.nlm.nih.gov/22986902/,
Smtn,Adrenal,Myonuclei,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/gene?Db=gene&Cmd=DetailsSearch&Term=29856,
Sox10,Adrenal,Sox10+,Sox10+,Sox10,https://academic.oup.com/stcltm/article/1/11/783/6385490,
Mpz,Adrenal,Sox10+,Sox10+,Sox10,,
Gfap,Adrenal,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Oct6,Adrenal,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Krox20,Adrenal,Schwann,Schwann,Schwann,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2291442/,
Cyp1b1,Adrenal,Stromal,Stromal,Stromal,,
Col1a2,Adrenal,Stromal,Stromal,Stromal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396412/,
Mgp,Adrenal,Stromal,Stromal,Stromal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396412/,
Col3a1,Adrenal,Stromal,Stromal,Stromal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396412/,
Col1a1,Adrenal,Stromal,Stromal,Stromal,https://www.pnas.org/doi/10.1073/pnas.2022350118,
Gfap,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions,
Slc1a3,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions,
Slc1a2,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions,
Clu,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Cpe,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Gja1,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Aqp4,Cortex/Hippocampus,Glial,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Flt1,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5,
Vwf,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5,
Itm2a,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5,
Bsg,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5,
Ptprb,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5,
Ly6c1,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Scgb3a1,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Cldn5,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Ly6a,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Pltp,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Pglyrp1,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECV.html,
Ecscr,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Gadd45a,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Meox1,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Ctla2a,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Adm,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Adm,Cortex/Hippocampus,Endothelial,Endothelial,Endothelial,http://mousebrain.org/celltypes/VECC.html,
Ccdc153,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html,
Dnah6,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/genes/Dnah6.html,
Dnah12,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/genes/Dnah12.html,
Tmem212,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html,
Hdc,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html,
Dynlrb2,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html,
2410004P03Rik,Cortex/Hippocampus,Glial,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html,
Ttr,Cortex/Hippocampus,Epithelial,Epithelial,Epithelial,http://mousebrain.org/celltypes/CHOR.html,
Folr1,Cortex/Hippocampus,Epithelial,Epithelial,Epithelial,http://mousebrain.org/celltypes/CHOR.html,
Clic6,Cortex/Hippocampus,Epithelial,Epithelial,Epithelial,http://mousebrain.org/celltypes/CHOR.html,
Kl,Cortex/Hippocampus,Epithelial,Epithelial,Epithelial,http://mousebrain.org/celltypes/CHOR.html,
Gad1,Cortex/Hippocampus,Neuron,GABA,GABA,https://www.frontiersin.org/articles/10.3389/fneur.2021.745159/full,
Gad2,Cortex/Hippocampus,Neuron,GABA,GABA,https://www.frontiersin.org/articles/10.3389/fneur.2021.745159/full,
Slc32a1,Cortex/Hippocampus,Neuron,GABA,GABA,https://www.frontiersin.org/articles/10.3389/fneur.2021.745159/full,
Meis2,Cortex/Hippocampus,Neuron,GABA,Meis2,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Lamp5,Cortex/Hippocampus,Neuron,GABA,Lamp5,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Sncg,Cortex/Hippocampus,Neuron,GABA,Sncg,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Vip,Cortex/Hippocampus,Neuron,GABA,Vip,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Sst,Cortex/Hippocampus,Neuron,GABA,Sst,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Pvalb,Cortex/Hippocampus,Neuron,GABA,Pvalb,https://www.sciencedirect.com/science/article/pii/S0092867421005018?dgcid=rss_sd_all,
Shisa8,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Fam184a,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Inpp5j,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Gpsm1,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Cpa6,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Gng4,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH2.html,
Prok2,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH4.html,
Trdn,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH4.html,
Inhba,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH4.html,
Ctxn3,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH4.html,
Rprm,Cortex/Hippocampus,Neuron,GABA,OB_GABA,http://mousebrain.org/celltypes/OBINH4.html,
Mgst1,Cortex/Hippocampus,Glia,Glia,OEC,http://mousebrain.org/celltypes/OEC.html,
Clca3a1,Cortex/Hippocampus,Glia,Glia,OEC,http://mousebrain.org/celltypes/OEC.html,
Fabp7,Cortex/Hippocampus,Glia,Glia,OEC,http://mousebrain.org/celltypes/OEC.html,
Frzb,Cortex/Hippocampus,Glia,Glia,OEC,http://mousebrain.org/celltypes/OEC.html,
Slc17a7,Cortex/Hippocampus,Neuron,GLUT,GLUT,https://www.nature.com/articles/nn.4216,
Prox1,Cortex/Hippocampus,Neuron,GLUT,DG,https://elifesciences.org/articles/14997,
Nr3c2,Cortex/Hippocampus,Neuron,GLUT,DG,http://mousebrain.org/celltypes/DGGRC2.html,
Ntf3,Cortex/Hippocampus,Neuron,GLUT,DG,http://mousebrain.org/celltypes/DGGRC1.html,
Amigo2,Cortex/Hippocampus,Neuron,GLUT,CA2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Bok,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Calb1,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Cnr1,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Cnr1,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Cck,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Cck,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Pdyn,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Gabra3,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Gabrd,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Kcnc1,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Man1a,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Man1a,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Neurod6,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Neurod6,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Grm2,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Grm3,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Grm3,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Nrp2,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Nrp2,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Tac2,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Nos1,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Nos1,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Ncam1,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Satb2,Cortex/Hippocampus,Neuron,GLUT,CA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Synpr,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Npy1r,Cortex/Hippocampus,Neuron,GLUT,DG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Npy2r,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5554463/,
Fibcd1,Cortex/Hippocampus,Neuron,GLUT,CA1,https://elifesciences.org/articles/14997,
Cacng5,Cortex/Hippocampus,Neuron,GLUT,CA2,https://elifesciences.org/articles/14997,
Nr4a3,Cortex/Hippocampus,Neuron,GLUT,CA3,http://mousebrain.org/celltypes/TEGLU23.html,
Grik4,Cortex/Hippocampus,Neuron,GLUT,CA3,https://www.nature.com/articles/s41467-021-23260-3,
Ndnf,Cortex/Hippocampus,Neuron,GLUT,CR,http://mousebrain.org/celltypes/CR.html,
Reln,Cortex/Hippocampus,Neuron,GLUT,CR,http://mousebrain.org/celltypes/CR.html,
Trp73,Cortex/Hippocampus,Neuron,GLUT,CR,http://mousebrain.org/celltypes/CR.html,
Nhlh2,Cortex/Hippocampus,Neuron,GLUT,CR,http://mousebrain.org/celltypes/CR.html,
Lhx1os,Cortex/Hippocampus,Neuron,GLUT,CR,http://mousebrain.org/celltypes/CR.html,
Car3,Cortex/Hippocampus,Neuron,GLUT,Car3,https://www.nature.com/articles/s41586-021-03941-1,
Oprk1,Cortex/Hippocampus,Neuron,GLUT,Car3,https://www.nature.com/articles/s41586-018-0654-5,
Nr2f2,Cortex/Hippocampus,Neuron,GLUT,Car3,https://www.nature.com/articles/s41586-018-0654-5,
Stard8,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/adolescent/genesearch.html,
Otof,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/adolescent/genesearch.html,
Calb1,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/celltypes/TEGLU7.html,
Cux1,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/celltypes/TEGLU7.html,
Gm12371,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/celltypes/TEGLU7.html,
Lamp5,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/celltypes/TEGLU7.html,
Cux2,Cortex/Hippocampus,Neuron,GLUT,L2.3_IT,http://mousebrain.org/adolescent/genesearch.html,
Pld5,Cortex/Hippocampus,Neuron,GLUT,L4_IT,http://mousebrain.org/celltypes/TEGLU8.html,
Rorb,Cortex/Hippocampus,Neuron,GLUT,L4_IT,http://mousebrain.org/celltypes/TEGLU8.html,
Tnnc1,Cortex/Hippocampus,Neuron,GLUT,L4_IT,http://mousebrain.org/celltypes/TEGLU8.html,
Dkkl1,Cortex/Hippocampus,Neuron,GLUT,L4_IT,http://mousebrain.org/celltypes/TEGLU8.html,
Hs3st2,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Vipr1,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Pde1a,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Scube1,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Myl4,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Dkkl1,Cortex/Hippocampus,Neuron,GLUT,L5_IT,http://mousebrain.org/celltypes/TEGLU10.html,
Rprm,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU3.html,
Rell1,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU3.html,
Nxph3,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU3.html,
Tbr1,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU3.html,
Hs3st4,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU3.html,
Thsd7b,Cortex/Hippocampus,Neuron,GLUT,L6b_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Cplx3,Cortex/Hippocampus,Neuron,GLUT,L6b_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Nxph3,Cortex/Hippocampus,Neuron,GLUT,L6b_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Nr4a2,Cortex/Hippocampus,Neuron,GLUT,L6b_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Hs3st4,Cortex/Hippocampus,Neuron,GLUT,L6b_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Tle4,Cortex/Hippocampus,Neuron,GLUT,L6_CT,http://mousebrain.org/celltypes/TEGLU2.html,
Cx3cr1,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Csf1r,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Itgam,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
P2ry12,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Ctss,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Cd83,Cortex/Hippocampus,Glial,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
Acta2,Cortex/Hippocampus,Mural,Mural,VSMCA,http://mousebrain.org/celltypes/VSMCA.html,
Mustn1,Cortex/Hippocampus,Mural,Mural,VSMCA,http://mousebrain.org/celltypes/VSMCA.html,
Tagln,Cortex/Hippocampus,Mural,Mural,VSMCA,http://mousebrain.org/celltypes/VSMCA.html,
Myh11,Cortex/Hippocampus,Mural,Mural,VSMCA,http://mousebrain.org/celltypes/VSMCA.html,
Map3k7cl,Cortex/Hippocampus,Mural,Mural,VSMCA,http://mousebrain.org/celltypes/VSMCA.html,
Rgs5,Cortex/Hippocampus,Mural,Mural,Mural,https://www.nature.com/articles/s41598-018-30739-5,
Abcc9,Cortex/Hippocampus,Mural,Mural,Mural,https://www.nature.com/articles/s41598-018-30739-5,
Vtn,Cortex/Hippocampus,Mural,Mural,Mural,https://www.nature.com/articles/s41598-018-30739-5,
Mir124a-1hg,Cortex/Hippocampus,Neuron,Neuron,Neuron,,
Mapt,Cortex/Hippocampus,Neuron,Neuron,Neuron,,
Map2,Cortex/Hippocampus,Neuron,Neuron,Neuron,,
Snap25,Cortex/Hippocampus,Neuron,Neuron,Neuron,https://www.nature.com/articles/nn.4216,
Camk2a,Cortex/Hippocampus,Neuron,Neuron,Neuron,,
Mal,Cortex/Hippocampus,Glial,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html,
Ppp1r14a,Cortex/Hippocampus,Glial,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html,
Mog,Cortex/Hippocampus,Glial,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html,
Ninj2,Cortex/Hippocampus,Glial,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html,
Ccp110,Cortex/Hippocampus,Glial,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html,
Hhip,Cortex/Hippocampus,Glial,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html,
Snx33,Cortex/Hippocampus,Glial,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html,
Mag,Cortex/Hippocampus,Glial,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21,
