,hippocampus_10x_20_hippocampus_parse_20_Topic_1,hippocampus_10x_20_hippocampus_parse_20_Topic_2,hippocampus_10x_20_hippocampus_parse_20_Topic_3,hippocampus_10x_20_hippocampus_parse_20_Topic_4,hippocampus_10x_20_hippocampus_parse_20_Topic_5,hippocampus_10x_20_hippocampus_parse_20_Topic_6,hippocampus_10x_20_hippocampus_parse_20_Topic_7,hippocampus_10x_20_hippocampus_parse_20_Topic_8,hippocampus_10x_20_hippocampus_parse_20_Topic_9,hippocampus_10x_20_hippocampus_parse_20_Topic_10,hippocampus_10x_20_hippocampus_parse_20_Topic_11,hippocampus_10x_20_hippocampus_parse_20_Topic_12,hippocampus_10x_20_hippocampus_parse_20_Topic_13,hippocampus_10x_20_hippocampus_parse_20_Topic_14,hippocampus_10x_20_hippocampus_parse_20_Topic_15,hippocampus_10x_20_hippocampus_parse_20_Topic_16,hippocampus_10x_20_hippocampus_parse_20_Topic_17,hippocampus_10x_20_hippocampus_parse_20_Topic_18,hippocampus_10x_20_hippocampus_parse_20_Topic_19
Ankrd17,34.735356512223426,0.05263157894736842,1882.672707005551,1831.1978684446465,561.6474297516537,5137.522267560551,1504.4438372789803,1495.1802729708809,1027.3943695813925,1937.8354133073674,683.7676419662165,1625.3707416431323,6886.973209658148,106.93253034426843,0.05263157894736842,263.4315651680722,153.0586719003348,4297.076623615466,1056.9819685618083
Apbb1,0.05263157894736842,0.05263157894736842,938.367985295073,0.05263157894736842,200.89374527840937,0.05263157894736842,299.0308655064427,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Apex1,0.05263157894736842,4.956393679954724,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
App,37.41894802795564,0.05263157894736842,2678.6440906190037,0.05263157894736842,671.4816551765387,4829.687560738293,4278.878494472827,535.7631959595352,607.701629208604,2746.998969499455,1501.2028456250916,238.25312846017044,9518.891891053268,163.07909309128183,0.05263157894736842,501.68142169603595,189.69078841183403,5856.989828812449,1262.2081040902572
Aptx,27.330231688390974,4.930267281375766,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,76.5626044260269,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Arid1a,47.09715889697926,0.05263157894736842,1472.829192874306,1007.4542069249119,479.1243113295114,1300.881947169305,797.6968175909498,737.179328325903,325.2492637265135,433.7563295092174,363.3802772644927,1059.3649573042585,0.05263157894736842,75.93373504513299,0.05263157894736842,77.36090397572627,116.18248052100809,0.05263157894736842,228.1489070642062
Arid1b,44.8386419157876,0.05263157894736842,2399.527890228807,2154.097874539964,610.6725787002675,6744.050325505001,1607.1646538427322,1764.1064541680473,705.5918406037783,1268.605663991529,464.98084508054234,1145.586187331741,8526.757665879233,138.5487517957334,0.05263157894736842,334.2553065308818,227.15053719978008,5509.41042448345,559.4658449466029
Arid3a,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Arid5a,31.029622409184554,30.331272913039285,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,15.718014244219823,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Asf1a,42.974113593680144,35.447714779674214,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,58.1362737485748,0.05263157894736842,0.05263157894736842,42.54944342160422,0.05263157894736842,0.05263157894736842
Asxl1,27.957146875224918,0.05263157894736842,1405.731663446259,0.05263157894736842,445.47170703565826,1147.4123650933054,402.07702219655135,515.8442889670176,230.89761952158403,543.5339166642622,232.015750457206,752.291708951383,0.05263157894736842,72.51875347823456,0.05263157894736842,106.85993008101704,166.55114036176423,0.05263157894736842,256.92317983395225
Asxl2,28.004761218462694,0.05263157894736842,1396.022194644861,1128.0825751085258,449.4455653663969,1941.1833251391752,1244.807680550268,413.6762079228148,549.2593611590564,504.8443546087243,251.9661283610457,774.6330732500231,1965.0544003960806,81.85018743020424,0.05263157894736842,78.57544443642513,75.40727784087495,0.05263157894736842,320.20439516425586
Asxl3,0.05263157894736842,0.05263157894736842,951.183355436827,0.05263157894736842,0.05263157894736842,2140.962737120543,849.435192122724,2015.4507396713764,243.16817216155204,332.4764955707414,0.05263157894736842,0.05263157894736842,1819.8271384558864,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,624.4553272362912
Atad2,52.76103828862817,78.61862412734396,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,51.81570382013825,0.05263157894736842,0.05263157894736842,851.2151798692022,0.05263157894736842,0.05263157894736842
Atad2b,34.395113111820315,0.05263157894736842,1301.8065524318763,2037.0346748699162,507.74483272705197,3109.612886632347,1332.906266312778,841.5185346074868,907.4511833781038,911.4311203030132,339.2502299775784,908.1393279924989,2164.723499468585,87.15429480964846,0.05263157894736842,145.4858805420636,148.05596589391945,1410.1948726051733,385.8411324577914
Atrx,54.4062423263008,0.05263157894736842,1935.5332666229783,1907.8658836919365,631.1082860570755,5089.207332625927,1551.0913702754651,2145.969685145787,1264.9813219452446,1822.449849434786,981.369219755003,1123.9559451953785,6355.724148201542,128.35244016882814,0.05263157894736842,259.20832329805665,229.09137538462033,3979.559978987041,900.1331149303552
Atxn1,45.86136349318708,0.05263157894736842,3102.3367675245854,1875.4810347117432,399.2162898752811,9505.120255050955,0.05263157894736842,681.4499650012169,688.8504783816636,3033.864407632517,847.6753350702256,532.4847801285821,10727.421368987867,128.84145172386442,0.05263157894736842,136.4890165401071,131.7050792899967,5523.296218671297,916.4519468437542
Atxn7,22.923765207058466,0.05263157894736842,1353.3224609910396,1030.325309748015,391.03402633600643,1017.0183779973,278.0175189509104,300.8301153555346,199.44357982555573,369.9273437217918,270.3727406454687,700.7999316332912,1674.0654092287884,65.99086571857333,0.05263157894736842,117.90563528719186,71.45958221559677,0.05263157894736842,0.05263157894736842
Auts2,149.4205339480998,9.186065758274626,4500.219513528389,6253.671277634641,913.0365272159994,19558.004889462245,3654.749578500703,7853.002527509417,1886.069335382635,4589.0929792537245,858.4017147585866,0.05263157894736842,17295.09204647128,269.7698668697734,0.05263157894736842,723.4709513159813,534.4435997562448,11417.040180407072,1796.5163784605083
Bahcc1,20.38740129031948,0.05263157894736842,0.05263157894736842,0.05263157894736842,192.56324024350266,0.05263157894736842,0.05263157894736842,0.05263157894736842,268.8080457513136,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,50.00278641375495,0.05263157894736842,0.05263157894736842,63.96553324219191,0.05263157894736842,0.05263157894736842
Bahd1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Bap1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Bcas3,35.817089994830006,0.05263157894736842,1583.887313923083,2124.442665668244,470.4518546431604,4349.480449750729,2247.3619016873636,818.8470539283672,908.9643942677162,1627.2717857893124,635.4224002648399,933.4110892502038,5328.954151856833,99.21990352022794,0.05263157894736842,243.87216679862252,104.2008232603658,3409.6657261095547,725.9731482014512
Bend6,0.05263157894736842,0.05263157894736842,969.6692395996629,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,1217.7907010185857,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,371.50949978941316
Bmi1,17.517654206331848,5.781419778593497,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,45.085631229650275,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Brca1,0.05263157894736842,29.165258302978323,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,189.25876635063509,0.05263157894736842,0.05263157894736842
Brd2,38.38491474771804,0.05263157894736842,822.6668173090408,0.05263157894736842,359.0381588221929,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,86.57327029028517,0.05263157894736842,54.94918250858232,44.214793268907464,0.05263157894736842,0.05263157894736842
Brd3,24.588325133089455,0.05263157894736842,896.8626462200232,0.05263157894736842,364.41790200352506,0.05263157894736842,0.05263157894736842,351.79856601809814,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,80.00868898400186,0.05263157894736842,62.215423898150526,85.00408923833297,0.05263157894736842,0.05263157894736842
