,adrenal_10x_20_adrenal_parse_20_Topic_1,adrenal_10x_20_adrenal_parse_20_Topic_2,adrenal_10x_20_adrenal_parse_20_Topic_3,adrenal_10x_20_adrenal_parse_20_Topic_4,adrenal_10x_20_adrenal_parse_20_Topic_5,adrenal_10x_20_adrenal_parse_20_Topic_6,adrenal_10x_20_adrenal_parse_20_Topic_7,adrenal_10x_20_adrenal_parse_20_Topic_8,adrenal_10x_20_adrenal_parse_20_Topic_9,adrenal_10x_20_adrenal_parse_20_Topic_10,adrenal_10x_20_adrenal_parse_20_Topic_11,adrenal_10x_20_adrenal_parse_20_Topic_12,adrenal_10x_20_adrenal_parse_20_Topic_13,adrenal_10x_20_adrenal_parse_20_Topic_14,adrenal_10x_20_adrenal_parse_20_Topic_15,adrenal_10x_20_adrenal_parse_20_Topic_16,adrenal_10x_20_adrenal_parse_20_Topic_17,adrenal_10x_20_adrenal_parse_20_Topic_18,adrenal_10x_20_adrenal_parse_20_Topic_19,adrenal_10x_20_adrenal_parse_20_Topic_20,adrenal_10x_20_adrenal_parse_20_Topic_21,adrenal_10x_20_adrenal_parse_20_Topic_22
Aptx,0.045454545454545456,20.81874679390228,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,21.21237958884439,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Arid1a,1561.9157874584198,13.91266509397614,1859.4308355014653,333.96079824952517,754.1738918204056,361.8525929450989,3246.839838572911,753.3815114541487,702.5402232683622,1214.7098632959219,2262.6771534834756,3316.0061861813724,0.045454545454545456,170.82419222760424,0.045454545454545456,185.01549605222849,484.40123491948196,111.01017578359652,105.42003528873126,0.045454545454545456,137.0539436340332,0.045454545454545456
Arid1b,2208.3330357074738,32.971565605878126,3331.833666582411,633.9433520747166,2645.7280129549795,336.2779957277585,10799.997552054268,1049.2924885836514,1927.854354418241,2701.4005135756274,6844.5872307201425,9661.567832862938,0.045454545454545456,735.6914473872318,1107.9573969571095,289.7975906569224,1051.3940567923064,185.10458461158387,136.5685670298338,15.330069516311612,192.00796631404333,0.045454545454545456
Arid3a,0.045454545454545456,17.90828956436579,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Arid5a,0.045454545454545456,16.666574429595208,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,10.790985234810154,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,42.44032086124023,18.270602820735228,54.06760582793504,0.045454545454545456
Asf1a,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Asxl1,1610.600433031718,15.421862830781073,1492.8069675836462,385.96368148654113,0.045454545454545456,449.72562646865845,3250.026891435896,545.6423971176148,461.0097703383519,590.2015010393583,2251.601243727278,3024.7747983827694,0.045454545454545456,249.19336772187847,674.7288850748314,0.045454545454545456,371.3525503420889,91.40222021225063,39.60817821179827,19.259024072830613,52.1263370854514,0.045454545454545456
Asxl2,1986.1606560150783,16.804355652331804,1214.1725425181035,472.89796144074086,850.9955529832004,343.19493655082397,3210.2459656851634,408.6554446516389,322.85596223977893,898.4526107861445,3502.3042324557164,4745.104016314496,0.045454545454545456,148.6947285093576,731.8161085596624,145.68826713355688,469.71246099944165,127.45046307867045,87.6738471031189,0.045454545454545456,201.98572485787528,0.045454545454545456
Asxl3,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,275.2744275009451,0.045454545454545456,202.46242459136278,0.045454545454545456,0.045454545454545456,76.16291956747571,0.045454545454545456,0.045454545454545456,0.045454545454545456
Atad2,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,1777.7168189953782,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Atad2b,1983.738839785258,17.777809162257295,2102.689258373247,471.10367924372355,1137.4598865843657,239.73577445376236,3516.5178057125636,742.1566565253518,862.8751305800217,1439.4531423495366,3467.495775128355,5305.35932301951,0.045454545454545456,428.6389501339921,952.3483515325582,263.17412053621734,760.0693232092527,117.91530734628111,115.7423705343902,0.045454545454545456,240.56156948634558,0.045454545454545456
Atrx,2143.9990994930267,44.55295314035231,3956.619112803321,731.4805352828082,1461.8331590619005,658.5712315972927,7924.0202922821045,893.0498546947132,1621.5919090417715,3033.9056072235107,4601.603799498907,8446.279541015625,0.045454545454545456,851.2056204537365,2119.724164135051,445.368684053421,1208.9673387886273,304.2329319545201,212.7163712776204,0.045454545454545456,190.0967791421073,0.045454545454545456
Atxn1,2484.834584991137,46.6183871797565,3548.557184819198,715.8430785833621,2302.220679578028,0.045454545454545456,11527.403627668109,322.2670082614334,2190.5878220338086,1614.1453948387732,8609.361928807626,11714.116840069111,0.045454545454545456,922.9187362829101,962.5456828711168,683.3828410368699,423.68422237960715,722.1996470860073,68.4531446022292,75.7773352440512,0.045454545454545456,0.045454545454545456
Atxn7,1789.7402293682098,12.89381667971611,1327.2825081896024,368.69058783288096,621.5423878954168,156.35547507440555,3469.2567855290004,511.9215548654849,454.8127837914687,772.5036651996465,1524.1918657510587,3337.696555672111,0.045454545454545456,176.95196626338864,0.045454545454545456,182.2049135703307,472.3007166078775,110.61265616028847,49.89053177331885,0.045454545454545456,0.045454545454545456,0.045454545454545456
Auts2,2040.0684918661912,65.76326463982363,901.5332334760853,979.2109066390085,0.045454545454545456,856.3834112833329,25028.510494777136,0.045454545454545456,4909.341481135441,5414.75799531203,9777.882744515297,13899.122537801553,0.045454545454545456,1583.1576182641716,1054.1698752709156,734.9481317916742,2169.492000428757,342.59469471798167,324.0323243127763,0.045454545454545456,0.045454545454545456,0.045454545454545456
Bahcc1,980.482959801952,0.045454545454545456,0.045454545454545456,199.74964518414117,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Bahd1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Bap1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Bcas3,1727.6265736023586,31.177828982384618,2654.834401861939,491.47464076771456,2456.5635405088724,0.045454545454545456,5960.814227512905,688.3116341541268,1543.4013038048377,2298.0966405134936,4368.371652433188,6619.927380907667,0.045454545454545456,557.3709924733528,585.9567671721836,229.76265518481915,763.656211664181,168.03740822671207,424.3825924173991,0.045454545454545456,206.6584119796753,42.213236556333655
